opponent,w,l,d,eloSum,topLossArch,winBoardHint,lossBoardHint
huntinglife,5,1,1,-24,flamingo_pass,Office Ops Desk | Webby | Projects Manager,Office Ops Desk | Love ❤️ | Apple Search Ads Review
tops_2026,4,1,0,-21,glass_burst,The Morning Newspaper | GTM Prospecting | Projects Manager,Office Ops Desk | Paid Media Report Desk | Site Audit
alfredojrayos,7,1,1,-21,glass_burst,Office Ops Desk | Call Follow-Ups | GTM Loop Closer,Company Docs Q&A | Pipeline Pulse | Product Idea Stress Test
afktravels,5,1,1,-20,glass_burst,Flora: Plant Care Log | Call Follow-Ups | Projects Manager,Imogen | Apple Search Ads Review | Meeting Recap Deck
skdonkor672,4,2,0,-19,glass_burst,Copy Humanizer | Credit Card Max | Account Research Desk,NYC Parent | Love ❤️ | Luma Pages
javaskrr,7,2,1,-19,flamingo_pass,Office Ops Desk | Webby | Company Docs Q&A,Office Ops Desk | SEO & AEO Desk | Talent Discovery
shunshifuw,4,2,0,-18,hype_battery,Company Docs Q&A | Love ❤️ | X Brief,Office Ops Desk | Meeting Recap Deck | AI Search Visibility
tspmethod,6,1,1,-18,hurt_revenge,Imogen | Meeting Recap Deck | X Brief,Imogen | Hiring Signals | Lead Pipeline Desk
nickcotsalas,6,2,0,-18,backline_snipe,NYC Parent | Meeting Recap Deck | X Brief,Stills & Clips Desk | Stills & Clips Desk | Writing Bot
tslacyb3rtruck,5,1,2,-17,glass_burst,Office Ops Desk | Luma Pages | Webby,Meeting Recap Deck | WTD | WTD
ibelevy,5,1,2,-15,backline_snipe,Copy Humanizer | Tradbot | Meeting Recap Deck,Copy Humanizer | Credit Card Max | Pitch Deck Coach
anhgemus,9,2,1,-11,glass_burst,Office Ops Desk | Company Docs Q&A | Game Art Director,Webby | Flora: Plant Care Log | Stills & Clips Desk
incpo_,6,1,2,-11,glass_burst,The Morning Newspaper | Outbound Prospecting | Apple Search Ads Review,Office Ops Desk | Account Research Desk | Projects Manager
palmengine,7,2,1,-10,glass_burst,Copy Humanizer | Writing Bot | Luma Pages,NYC Parent | Pipeline Pulse | Writing Bot
valince_crypto,8,1,1,-10,hurt_revenge,Copy Humanizer | Projects Manager | Writing Bot,EBR & Value Deck Builder | WTD | Writing Bot
k4sbasia,5,1,0,-10,flamingo_pass,Company Docs Q&A | Projects Manager | Writing Bot,Customer Proof Desk | Apple Search Ads Review | EBR & Value Deck Builder
ispider,4,1,2,-9,chip_snipe,Imogen | Stills & Clips Desk | Meeting Recap Deck,Stills & Clips Desk | Writing Bot | Credit Card Max
akhadse26,6,2,0,-9,chip_snipe,Company Docs Q&A | Video Edit Desk | WTD,Talent Discovery | WTD | Writing Bot
jasonleebedunah,7,1,1,0,flamingo_pass,Office Ops Desk | SEO & AEO Desk | Projects Manager,Company Docs Q&A | Hiring Signals | Haggle Bot
otarotto,5,0,3,0,flamingo_pass,Outbound Prospecting | Hiring Signals | Projects Manager,
barkgj,10,1,1,0,backline_snipe,NYC Parent | Writing Bot | Imogen,Imogen | Pipeline Pulse | Paid Media Report Desk
irsthaeth,3,1,3,2,ko_snowball,The Morning Newspaper | Call Follow-Ups | Luma Pages,Copy Humanizer | EBR & Value Deck Builder | Luma Pages
ambientstudio24,8,1,1,3,flamingo_pass,Copy Humanizer | The Morning Newspaper | Love ❤️,Imogen | SEO & AEO Desk | Writing Bot
smartbean,6,1,0,3,glass_burst,Copy Humanizer | Deal Inspector | tinkabot,Pipeline Pulse | Deal Hunting | Writing Bot
heydenpaul,7,0,2,4,chip_snipe,Webby | Meeting Recap Deck | WTD,
kanning_m,8,1,1,5,hurt_revenge,Imogen | Call Follow-Ups | Call Follow-Ups,NYC Parent | The Morning Newspaper | Imogen
c2mlouro,7,1,0,5,chip_snipe,The Morning Newspaper | Copy Humanizer | Nightly Audit Engineer,NYC Parent | Company Docs Q&A | EBR & Value Deck Builder
angelogiove,7,0,2,5,flamingo_pass,Company Docs Q&A | Writing Bot | Writing Bot,
muzzletoken,1,0,0,5,glass_burst,NYC Parent | Event Request Desk | Luma Pages,
mfh_2033,6,2,0,6,backline_snipe,Flora: Plant Care Log | Call Follow-Ups | Writing Bot,Webby | Site Audit | Meeting Recap Deck
evgeniiplosskii,8,1,1,7,glass_burst,Paid Media Report Desk | GTM Loop Closer | Writing Bot,Company Docs Q&A | Writing Bot | Apple Search Ads Review
kschevik,8,1,0,8,hurt_revenge,SEO & AEO Desk | Cooper | Account Research Desk,Partnerships Call Coach | Video Edit Desk | Meeting Recap Deck
chopper_threads,8,1,1,10,buff_suicide,NYC Parent | WTD | NYC Parent,EBR & Value Deck Builder | Outbound Prospecting | The Morning Newspaper
thebookdesk,10,1,0,11,chip_snipe,Tradbot | Event Request Desk | Tradbot,GTM Prospecting | Site Audit | Talent Discovery
yuuamane7,8,0,1,11,backline_snipe,Company Docs Q&A | NYC Parent | Lead Pipeline Desk,
dogatemywork,8,0,1,11,flamingo_pass,NYC Parent | Cooper | Meeting Recap Deck,
riskadjustedme,6,1,1,12,hurt_revenge,Imogen | Love ❤️ | Tradbot,Imogen | Pipeline Pulse | Product Support Inbox Assistant
rebecca_rjh2,3,0,0,12,chip_snipe,The Morning Newspaper | Apple Search Ads Review | Meeting Recap Deck,
xiparas,9,0,1,14,chip_snipe,NYC Parent | Credit Card Max | WTD,
resqun11,12,1,0,16,chip_snipe,Office Ops Desk | WTD | Credit Card Max,Stills & Clips Desk | Meeting Recap Deck | Deal Inspector
uiuxax,7,0,1,16,chip_snipe,NYC Parent | NYC Parent | Office Ops Desk,
joshdbirdwell,10,0,1,17,bulk_echo,Webby | Company Docs Q&A | Luma Pages,
kshv86,4,1,0,17,flamingo_pass,Imogen | Webby | Talent Discovery,EBR & Value Deck Builder | Stills & Clips Desk | Lead Pipeline Desk
bartlangley2,8,0,4,18,wake_chip,NYC Parent | GTM Loop Closer | Meeting Recap Deck,
ludwingvzla,6,5,1,18,glass_burst,The Morning Newspaper | Webby | NYC Parent,Tradbot | Webby | Lingxi's Engineer Bot
laydo1213,9,0,0,18,hurt_revenge,Webby | WTD | Luma Pages,
jmckenzie122,6,0,0,19,chip_snipe,GTM Loop Closer | Love ❤️ | Luma Pages,
gematriuma,8,0,1,20,flamingo_pass,Writing Bot | Webby | WTD,
iamphilmichaels,6,0,0,20,backline_snipe,Imogen | NYC Parent | NYC Parent,
cirala,5,0,1,21,glass_burst,NYC Parent | Luma Pages | Imogen,
pulsemotionhub1,7,0,1,24,flamingo_pass,Imogen | EBR & Value Deck Builder | Tradbot,
pepsifan013,9,0,1,24,backline_snipe,Outbound Prospecting | Meeting Recap Deck | WTD,
astanevicius,8,0,0,24,backline_snipe,Lead Pipeline Desk | Love ❤️ | Apple Search Ads Review,
bala_muppala,7,1,0,24,buff_suicide,Copy Humanizer | Apple Search Ads Review | Writing Bot,Flora: Plant Care Log | Deal Hunting | Stills & Clips Desk
theprimeagen_sv,7,1,2,25,glass_burst,Flora: Plant Care Log | Projects Manager | Writing Bot,Webby | EBR & Value Deck Builder | Apple Search Ads Review
sandramp,8,0,1,25,glass_burst,Call Follow-Ups | Projects Manager | Office Ops Desk,
funnycrown42,6,0,0,25,glass_burst,Webby | Call Follow-Ups | dr eggbot,
devin_yakima,8,1,0,25,glass_burst,The Morning Newspaper | Flora: Plant Care Log | Haggle Bot,Game Art Director | Luma Pages | WTD
endshunter,7,0,3,26,hype_battery,NYC Parent | Apple Search Ads Review | Copy Humanizer,
mert34943543,7,0,1,26,glass_burst,Flora: Plant Care Log | Event Request Desk | Meeting Recap Deck,
mlaneio,9,0,0,27,ko_snowball,NYC Parent | Company Docs Q&A | Call Follow-Ups,
hiralp,9,0,0,27,chip_snipe,Imogen | Writing Bot | Writing Bot,
mikenewnam,9,0,0,27,buff_suicide,The Morning Newspaper | Copy Humanizer | Sales Call Coach,
jennymarquis,4,2,0,28,ko_snowball,Credit Card Max | Flora: Plant Care Log | Luma Pages,Imogen | NYC Parent | NYC Parent
pajuuuuuuu,10,1,0,28,flamingo_pass,Lingxi's Engineer Bot | Stills & Clips Desk | Cooper,Company Docs Q&A | AI Search Visibility | Alfred
kami179505,10,0,0,30,buff_suicide,Webby | GTM Loop Closer | Luma Pages,
rayanabdulcader,8,0,1,31,flamingo_pass,Webby | WTD | Office Ops Desk,
godviken,10,0,1,31,flamingo_pass,The Morning Newspaper | Flora: Plant Care Log | Recruiting Coordinator,
m0n0cr0m0,7,1,0,31,hurt_revenge,Pipeline Pulse | Apple Search Ads Review | WTD,Sales Call Coach | Love ❤️ | Writing Bot
loveteatea7,8,0,0,32,backline_snipe,Credit Card Max | Paid Media Report Desk | Writing Bot,
savanc,8,0,0,33,chip_snipe,Company Docs Q&A | NYC Parent | NYC Parent,
orinborg,11,0,0,33,backline_snipe,Company Docs Q&A | Meeting Recap Deck | WTD,
voidvexa,7,0,0,34,chip_snipe,Copy Humanizer | Stills & Clips Desk | GTM Loop Closer,
pierre_hulsebus,9,0,0,35,glass_burst,dr eggbot | Luma Pages | WTD,
drilonbrahelika,7,0,0,36,glass_burst,NYC Parent | Company Docs Q&A | WTD,
dkbsp,9,0,0,36,backline_snipe,GTM Loop Closer | NYC Parent | Deal Hunting,
love2bnomads,10,0,0,36,chip_snipe,Copy Humanizer | Apple Search Ads Review | Credit Card Max,
hoyin020385,9,0,0,36,hurt_revenge,Imogen | X Brief | Nightly Audit Engineer,
ger942537869997,9,0,0,36,hype_battery,Product Support Inbox Assistant | Writing Bot | Apple Search Ads Review,
krisjklosterman,10,1,0,37,glass_burst,NYC Parent | WTD | Writing Bot,Deal Inspector | Pipeline Pulse | Writing Bot
austenxmadison,9,0,1,37,chip_snipe,Office Ops Desk | Company Docs Q&A | Love ❤️,
almurray24,9,0,0,39,hurt_revenge,Call Follow-Ups | Writing Bot | Copy Humanizer,
j4ndr4,6,0,0,40,glass_burst,Cooper | Projects Manager | Writing Bot,
gui_deferreira,9,0,0,40,chip_snipe,Office Ops Desk | Copy Humanizer | Luma Pages,
youz00n,10,0,0,40,hurt_revenge,Company Docs Q&A | Writing Bot | Writing Bot,
dyeson_max,10,0,0,40,ko_snowball,Office Ops Desk | NYC Parent | Credit Card Max,
skorpyan1,8,0,0,40,glass_burst,Company Docs Q&A | Company Docs Q&A | Pitch Deck Coach,
ykcxx00,6,1,0,41,ko_snowball,Webby | The Morning Newspaper | Webby,Company Docs Q&A | Apple Search Ads Review | Cooper
alphanumber1inv,8,0,2,41,flamingo_pass,NYC Parent | Company Docs Q&A | Game Art Director,
ferjgm98,8,0,1,41,glass_burst,X Brief | Hiring Signals | Alfred,
anbulibabulia,10,0,0,42,ko_snowball,The Morning Newspaper | Video Edit Desk | Company Docs Q&A,
kristajoypalmer,9,0,1,42,chip_snipe,The Morning Newspaper | Deal Inspector | WTD,
jambrefe,8,0,0,42,buff_suicide,Copy Humanizer | NYC Parent | Paid Media Report Desk,
mcafe17,10,0,0,42,buff_suicide,The Morning Newspaper | The Morning Newspaper | Company Docs Q&A,
asmgkr,10,1,1,43,glass_burst,Tradbot | Cooper | Overheard,Office Ops Desk | WTD | Copy Humanizer
brandenearp,7,0,0,43,chip_snipe,Paid Media Report Desk | Love ❤️ | Writing Bot,
webjuice_ie,9,0,0,45,glass_burst,Cooper | Writing Bot | Writing Bot,
poteto,9,0,0,46,glass_burst,NYC Parent | Hiring Signals | WTD,
enettolima,8,0,0,47,glass_burst,Webby | Credit Card Max | Researchy,
official_tmrc,7,0,0,48,backline_snipe,Copy Humanizer | X Brief | Projects Manager,
jeffbarnette,9,0,0,48,bulk_echo,The Morning Newspaper | Company Docs Q&A | Company Docs Q&A,
hisstoricalpoet,7,0,0,49,hurt_revenge,Office Ops Desk | Company Docs Q&A | Call Follow-Ups,
sergiocastillop,14,1,0,50,glass_burst,Webby | The Morning Newspaper | Writing Bot,Imogen | Flora: Plant Care Log | tinkabot
modernlifeislov,10,0,1,50,hurt_revenge,Company Docs Q&A | Company Docs Q&A | Projects Manager,
yaseenhq,6,0,0,51,chip_snipe,The Morning Newspaper | Call Follow-Ups | Meeting Recap Deck,
kshay712,9,0,0,52,glass_burst,Company Docs Q&A | Luma Pages | Projects Manager,
fbacope88,12,0,0,53,glass_burst,Imogen | Office Ops Desk | Writing Bot,
5kongz,9,0,0,53,chip_snipe,Webby | Company Docs Q&A | Luma Pages,
nehood45,10,0,1,54,wake_chip,Imogen | Credit Card Max | NYC Parent,
yakveal,16,0,0,57,glass_burst,Company Docs Q&A | Call Follow-Ups | Nightly Audit Engineer,
sai_vajra,8,0,0,57,chip_snipe,NYC Parent | The Morning Newspaper | X Brief,
focamother22028,9,0,0,57,ko_snowball,Office Ops Desk | Copy Humanizer | Pipeline Pulse,
lyanlab,9,0,0,58,backline_snipe,Office Ops Desk | Company Docs Q&A | Call Follow-Ups,
richhar75378,9,0,0,59,hurt_revenge,Copy Humanizer | Company Docs Q&A | Meeting Recap Deck,
jimmychickey,9,0,1,59,chip_snipe,Office Ops Desk | Meeting Recap Deck | Luma Pages,
mangobushmango,11,0,0,60,glass_burst,Imogen | WTD | Projects Manager,
jmatthewleelee,11,0,0,61,chip_snipe,Office Ops Desk | Signal Prospector | Nightly Audit Engineer,
ezatwakily,14,0,0,61,glass_burst,The Morning Newspaper | The Morning Newspaper | Meeting Recap Deck,
arnavprs,10,1,0,61,glass_burst,Company Docs Q&A | WTD | WTD,Deal Hunting | GTM Prospecting | Luma Pages
jgabrielgruber,12,1,0,71,hurt_revenge,NYC Parent | Pipeline Pulse | NYC Parent,Imogen | Company Docs Q&A | Company Docs Q&A
_coachingportal,12,0,0,75,bulk_echo,Office Ops Desk | Recruiting Coordinator | Luma Pages,
devs_machina,8,0,0,76,buff_suicide,Video Edit Desk | Webby | Luma Pages,
torstenbremeyer,9,0,0,76,buff_suicide,Office Ops Desk | NYC Parent | WTD,
roshan_s,13,0,0,91,glass_burst,Imogen | Call Follow-Ups | WTD,
morgeninamerica,7,0,0,101,chip_snipe,The Morning Newspaper | EBR & Value Deck Builder | WTD,
wowbaggerv2,10,0,0,106,glass_burst,Paid Media Report Desk | Hiring Signals | WTD,
3dkelvic,15,0,0,149,buff_suicide,Imogen | The Morning Newspaper | Writing Bot,
